iter	Passed	Remaining
327	908	1860
328	910	1857
329	913	1854
330	915	1850
331	918	1848
332	921	1845
333	923	1842
334	926	1839
335	929	1836
336	931	1832
337	934	1829
338	936	1826
339	938	1822
340	941	1819
341	943	1815
342	946	1812
343	949	1809
344	951	1806
345	953	1802
346	956	1799
347	958	1795
348	960	1792
349	963	1788
350	966	1786
351	969	1784
352	972	1781
353	974	1778
354	977	1776
355	980	1774
356	983	1771
357	986	1768
358	988	1764
359	990	1761
360	993	1757
361	995	1754
362	998	1751
363	1000	1748
364	1002	1744
365	1005	1741
366	1007	1738
367	1010	1734
368	1012	1731
369	1015	1728
370	1017	1725
371	1019	1721
372	1022	1719
373	1025	1716
374	1027	1712
375	1030	1709
376	1032	1706
377	1034	1702
378	1037	1699
379	1039	1696
380	1042	1693
381	1044	1690
382	1047	1687
383	1049	1683
384	1052	1680
385	1054	1677
386	1056	1673
387	1058	1670
388	1061	1667
389	1064	1664
390	1066	1661
391	1068	1657
392	1071	1654
393	1073	1651
394	1076	1648
395	1078	1645
396	1081	1642
397	1083	1639
398	1086	1636
399	1088	1633
400	1091	1629
401	1093	1626
402	1095	1623
403	1098	1619
404	1100	1616
405	1103	1614
406	1105	1611
407	1108	1608
408	1110	1605
409	1113	1602
410	1115	1598
411	1118	1595
412	1120	1592
413	1123	1589
414	1125	1586
415	1134	1592
416	1137	1589
417	1139	1586
418	1142	1583
419	1145	1581
420	1147	1578
421	1150	1575
422	1152	1572
423	1154	1568
424	1157	1565
425	1159	1562
426	1162	1559
427	1164	1556
428	1167	1553
429	1170	1551
430	1172	1548
431	1175	1545
432	1178	1543
433	1181	1540
434	1183	1537
435	1186	1534
436	1188	1531
437	1190	1528
438	1193	1524
439	1195	1521
440	1198	1518
441	1200	1515
442	1202	1512
443	1205	1509
444	1209	1508
445	1215	1509
446	1217	1506
447	1220	1503
448	1223	1500
449	1225	1497
450	1227	1494
451	1230	1491
452	1232	1488
453	1234	1484
454	1236	1481
455	1239	1478
456	1241	1475
457	1244	1472
458	1246	1469
459	1249	1466
460	1251	1463
461	1253	1460
462	1256	1457
463	1258	1454
464	1261	1451
465	1263	1448
466	1266	1444
467	1268	1441
468	1271	1439
469	1273	1436
470	1275	1433
471	1278	1430
472	1281	1427
473	1283	1424
474	1285	1421
475	1288	1418
476	1290	1414
477	1292	1411
478	1295	1408
479	1297	1406
480	1300	1402
481	1302	1399
482	1305	1397
483	1307	1394
484	1309	1390
485	1312	1388
486	1315	1385
487	1317	1382
488	1320	1379
489	1322	1376
490	1325	1374
491	1328	1371
492	1330	1368
493	1333	1365
494	1336	1363
495	1339	1360
496	1341	1357
497	1344	1355
498	1346	1352
499	1349	1349
500	1351	1346
501	1354	1343
502	1357	1341
503	1359	1338
504	1363	1336
505	1365	1333
506	1368	1331
507	1372	1328
508	1374	1326
509	1377	1323
510	1379	1320
511	1382	1317
512	1384	1314
513	1387	1311
514	1390	1309
515	1394	1307
516	1396	1304
517	1398	1301
518	1401	1299
519	1404	1296
520	1406	1293
521	1409	1290
522	1411	1287
523	1414	1284
524	1416	1281
525	1419	1278
526	1421	1275
527	1424	1273
528	1426	1270
529	1429	1267
530	1431	1264
531	1433	1261
532	1436	1258
533	1438	1255
534	1441	1252
535	1443	1249
536	1446	1246
537	1448	1243
538	1451	1241
539	1453	1238
540	1455	1235
541	1458	1232
542	1460	1229
543	1464	1227
544	1466	1224
545	1469	1221
546	1472	1219
547	1475	1217
548	1478	1214
549	1481	1211
550	1483	1208
551	1486	1206
552	1488	1203
553	1491	1200
554	1494	1197
555	1496	1195
556	1498	1192
557	1501	1189
558	1504	1186
559	1506	1183
560	1509	1181
561	1511	1178
562	1514	1175
563	1516	1172
564	1519	1169
565	1522	1167
566	1524	1164
567	1526	1161
568	1529	1158
569	1531	1155
570	1534	1152
571	1536	1149
572	1539	1146
573	1541	1143
574	1543	1141
575	1546	1138
576	1548	1135
577	1551	1132
578	1554	1130
579	1561	1130
580	1564	1128
581	1567	1125
582	1570	1123
583	1572	1120
584	1575	1117
585	1578	1115
586	1581	1112
587	1583	1109
588	1586	1106
589	1588	1103
590	1591	1101
591	1594	1098
592	1596	1095
593	1599	1092
594	1601	1090
595	1603	1087
596	1606	1084
597	1608	1081
598	1611	1078
599	1613	1075
600	1616	1072
601	1618	1070
602	1621	1067
603	1623	1064
604	1626	1061
605	1628	1058
606	1631	1056
607	1634	1053
608	1636	1050
609	1638	1047
610	1641	1044
611	1643	1042
612	1645	1039
613	1648	1036
614	1650	1033
615	1653	1030
616	1655	1027
617	1658	1025
618	1660	1022
619	1663	1019
620	1665	1016
621	1667	1013
622	1670	1010
623	1672	1008
624	1675	1005
625	1678	1002
626	1681	1000
627	1683	997
628	1686	994
629	1689	992
630	1691	989
631	1693	986
632	1696	983
633	1698	980
634	1701	977
635	1703	975
636	1706	972
637	1709	969
638	1712	967
639	1714	964
640	1716	961
641	1719	958
642	1721	956
643	1724	953
644	1726	950
645	1729	947
646	1732	945
647	1735	942
648	1738	940
649	1740	937
650	1742	934
651	1745	931
652	1747	928
653	1749	925
654	1752	923
655	1755	920
656	1758	917
657	1760	915
658	1763	912
659	1766	909
660	1769	907
661	1771	904
662	1774	901
663	1776	899
664	1779	896
665	1781	893
666	1783	890
667	1786	887
668	1788	885
669	1791	882
670	1793	879
671	1795	876
672	1798	873
673	1800	870
674	1802	868
675	1805	865
676	1807	862
677	1810	859
678	1812	856
679	1814	854
680	1817	851
681	1819	848
682	1821	845
683	1824	842
684	1827	840
685	1829	837
686	1832	834
687	1834	831
688	1836	829
689	1839	826
690	1842	823
691	1844	820
692	1846	818
693	1849	815
694	1851	812
695	1853	809
696	1856	806
697	1858	804
698	1860	801
699	1863	798
700	1865	795
701	1868	793
702	1870	790
703	1872	787
704	1875	784
705	1878	782
706	1881	779
707	1884	777
708	1886	774
709	1888	771
710	1891	768
711	1893	765
712	1896	763
713	1898	760
714	1900	757
715	1903	754
716	1905	752
717	1907	749
718	1910	746
719	1912	743
720	1915	741
721	1917	738
722	1919	735
723	1922	732
724	1925	730
725	1927	727
726	1930	724
727	1932	722
728	1934	719
729	1937	716
730	1939	713
731	1942	711
732	1944	708
733	1947	705
734	1949	703
735	1952	700
736	1954	697
737	1957	694
738	1960	692
739	1963	689
740	1966	687
741	1968	684
742	1971	682
743	1974	679
744	1976	676
745	1979	673
746	1981	671
747	1984	668
748	1986	665
749	1989	663
750	1991	660
751	1993	657
752	1996	654
753	1998	652
754	2001	649
755	2004	646
756	2007	644
757	2010	641
758	2013	639
759	2015	636
760	2018	633
761	2020	631
762	2023	628
763	2025	625
764	2028	623
765	2030	620
766	2032	617
767	2035	614
768	2037	612
769	2040	609
770	2042	606
771	2045	604
772	2047	601
773	2050	598
774	2052	595
775	2055	593
776	2057	590
777	2060	587
778	2062	585
779	2064	582
780	2067	579
781	2070	577
782	2072	574
783	2075	571
784	2078	569
785	2080	566
786	2083	563
787	2085	561
788	2087	558
789	2091	555
790	2094	553
791	2097	550
792	2100	548
793	2103	545
794	2105	542
795	2108	540
796	2110	537
797	2113	535
798	2116	532
799	2119	529
800	2122	527
801	2124	524
802	2127	521
803	2129	519
804	2132	516
805	2134	513
806	2136	511
807	2139	508
808	2142	505
809	2144	503
810	2147	500
811	2149	497
812	2152	495
813	2155	492
814	2158	489
815	2160	487
816	2163	484
817	2166	482
818	2169	479
819	2172	476
820	2175	474
821	2178	471
822	2180	468
823	2182	466
824	2185	463
825	2188	460
826	2190	458
827	2192	455
828	2195	452
829	2198	450
830	2200	447
831	2203	444
832	2205	442
833	2208	439
834	2211	436
835	2213	434
836	2216	431
837	2218	428
838	2221	426
839	2223	423
840	2226	420
841	2228	418
842	2231	415
843	2233	412
844	2236	410
845	2239	407
846	2241	404
847	2244	402
848	2246	399
849	2249	396
850	2251	394
851	2254	391
852	2256	388
853	2259	386
854	2262	383
855	2265	381
856	2267	378
857	2270	375
858	2272	373
859	2275	370
860	2278	367
861	2280	365
862	2283	362
863	2285	359
864	2287	357
865	2290	354
866	2292	351
867	2295	349
868	2298	346
869	2300	343
870	2303	341
871	2306	338
872	2309	335
873	2311	333
874	2314	330
875	2316	327
876	2319	325
877	2321	322
878	2323	319
879	2326	317
880	2328	314
881	2331	311
882	2333	309
883	2336	306
884	2338	303
885	2341	301
886	2344	298
887	2346	295
888	2349	293
889	2351	290
890	2354	288
891	2356	285
892	2359	282
893	2362	280
894	2371	278
895	2374	275
896	2377	272
897	2379	270
898	2382	267
899	2384	264
900	2386	262
901	2389	259
902	2391	256
903	2394	254
904	2396	251
905	2398	248
906	2401	246
907	2403	243
908	2406	240
909	2408	238
910	2411	235
911	2413	232
912	2415	230
913	2418	227
914	2420	224
915	2422	222
916	2425	219
917	2427	216
918	2430	214
919	2432	211
920	2434	208
921	2437	206
922	2439	203
923	2442	200
924	2444	198
925	2447	195
926	2450	192
927	2452	190
928	2455	187
929	2458	185
930	2460	182
931	2462	179
932	2465	177
933	2467	174
934	2470	171
935	2472	169
936	2475	166
937	2477	163
938	2480	161
939	2482	158
940	2484	155
941	2487	153
942	2489	150
943	2492	147
944	2494	145
945	2497	142
946	2499	139
947	2502	137
948	2504	134
949	2506	131
950	2509	129
951	2511	126
952	2514	123
953	2516	121
954	2518	118
955	2520	116
956	2523	113
957	2525	110
958	2528	108
959	2530	105
960	2533	102
961	2535	100
962	2537	97
963	2539	94
964	2543	92
965	2546	89
966	2548	86
967	2551	84
968	2553	81
969	2556	79
970	2559	76
971	2562	73
972	2564	71
973	2567	68
974	2570	65
975	2573	63
976	2576	60
977	2578	58
978	2581	55
979	2584	52
980	2586	50
981	2589	47
982	2591	44
983	2593	42
984	2596	39
985	2598	36
986	2601	34
987	2603	31
988	2606	28
989	2608	26
990	2611	23
991	2613	21
992	2615	18
993	2618	15
994	2620	13
995	2623	10
996	2626	7
997	2629	5
998	2631	2
999	2633	0
